code,brazilian,state,latitude,longitude
SBGR,1,SP,-23.435556411743164,-46.47305679321289
SBSP,1,SP,-23.626110076904297,-46.65638732910156
SBBR,1,DF,-15.869167000000001,-47.920834
SBGL,1,RJ,-22.809999465900002,-43.2505569458
SBRJ,1,RJ,-22.910499572800003,-43.1631011963
SBKP,1,SP,-23.0074005127,-47.1344985962
SBCT,1,PR,-25.5284996033,-49.175800323500006
SBSV,1,BA,-12.9086112976,-38.3224983215
SBCF,1,MG,-19.62444305419922,-43.97194290161133
SBPA,1,RS,-29.994400024414066,-51.1713981628418
SBRF,1,PE,-8.126489639282228,-34.923599243164055
SBFZ,1,CE,-3.776279926300049,-38.53260040283203
SBEG,1,AM,-3.03861,-60.049702
SBBE,1,PA,-1.3792500495900002,-48.476299285900005
SBFL,1,SC,-27.670278549194336,-48.5525016784668
SBVT,1,ES,-20.258057,-40.286388
SBGO,1,GO,-16.631999969482422,-49.22069931030274
SBCY,1,MT,-15.6528997421,-56.1166992188
SBBH,1,MG,-19.851200103759766,-43.950599670410156
SAEZ,0,,-34.8222,-58.5358
SBRP,1,SP,-21.136388778686523,-47.77666854858398
SBCG,1,MS,-20.468700408900002,-54.6725006104
SBMG,1,PR,-23.479444,-52.012221999999994
SBMG,1,PR,-23.47606,-52.016187
SBMO,1,AL,-9.510809898376463,-35.79169845581055
SBSL,1,MA,-2.585360050201416,-44.23410034179688
SBLO,1,PR,-23.3335990906,-51.1301002502
SBNT,1,RN,-5.91142,-35.2477
SBUL,1,MG,-18.883612,-48.225277
SBFI,1,PR,-25.60027885437012,-54.48500061035156
SBNF,1,SC,-26.879998999999998,-48.651402000000004
SBAR,1,SE,-10.984000000000002,-37.070301
SBPS,1,BA,-16.438601000000002,-39.080898
KMIA,0,,25.79319954,-80.29060364
SBTE,1,PI,-5.0599398613,-42.8235015869
SBPV,1,RO,-8.70928955078125,-63.90230178833008
SBSN,1,PA,-2.424721956253052,-54.78583145141602
SBSR,1,SP,-20.8166007996,-49.40650177
SBJP,1,PB,-7.145833015440002,-34.9486122131
SCEL,0,,-33.39300156,-70.78579712
SBIL,1,BA,-14.815999984741001,-39.033199310303004
SBJV,1,SC,-26.22450065612793,-48.797401428222656
SBMQ,1,AP,0.0506640002131,-51.0722007751
LPPT,0,,38.7813,-9.13592
SBSG,1,RN,-5.768056,-35.376111
SUMU,0,,-34.838402,-56.0308
SBMA,1,PA,-5.36858987808,-49.1380004883
SBIP,1,MG,-19.470699310302997,-42.487598419189
SBPJ,1,TO,-10.2915000916,-48.3569984436
SABE,0,,-34.5592,-58.4156
SBRB,1,AC,-9.869031,-67.893984
SBHT,1,PA,-3.2539100646973,-52.254001617432
MPTO,0,,9.071359634,-79.38349915
SBDN,1,SP,-22.1751003265,-51.4245986938
SBCA,1,PR,-25.0002994537,-53.5008010864
SBML,1,SP,-22.1968994141,-49.926399231000005
SBPL,1,PE,-9.362409591674805,-40.56909942626953
SBCH,1,SC,-27.134199142456,-52.656600952148
SBUR,1,MG,-19.764722824097,-47.966110229491996
LFPG,0,,49.012798,2.55
SBJU,1,CE,-7.21895980835,-39.270099639899996
SBMK,1,MG,-16.706899642899998,-43.818901061999995
SBIZ,1,MA,-5.53129,-47.459998999999996
KJFK,0,,40.63980103,-73.77890015
LEMD,0,,40.471926,-3.56264
SBFN,1,PE,-3.8549300000000004,-32.423302
SBQV,1,BA,-14.8628,-40.863098
SBAU,1,SP,-21.141479,-50.424575
SBCX,1,RS,-29.197099685700003,-51.1875
SKBO,0,,4.70159,-74.1469
SBBV,1,RR,2.8413889408099995,-60.69222259520001
SWPI,1,AM,-2.6730198860168457,-56.777198791503906
SPIM,0,,-12.0219,-77.114305
SGAS,0,,-25.23999977,-57.52000046
SBGV,1,MG,-18.89520072937,-41.982200622559
SBME,1,RJ,-22.343000412,-41.7659988403
SBIH,1,PA,-4.2423400878906,-56.000701904296996
EDDF,0,,50.033333,8.570556
SBBU,1,SP,-22.344999313400002,-49.053798675500005
SWSI,1,MT,-11.885000999999999,-55.58610899999999
SBJF,1,MG,-21.791500091552734,-43.38679885864258
SBSJ,1,SP,-23.22920036315918,-45.86149978637695
SBPF,1,RS,-28.243999,-52.326599
SBCJ,1,PA,-6.11527776718,-50.0013885498
SBTF,1,AM,-3.38294005394,-64.7240982056
EGLL,0,,51.4706,-0.461941
SLVR,0,,-17.6448,-63.135399
SNBR,1,BA,-12.078900337219238,-45.00899887084961
KATL,0,,33.6367,-84.428101
SBAE,1,SP,-22.15778,-49.068329999999996
SBKG,1,PB,-7.26992,-35.8964
SWGN,1,TO,-7.227869999999999,-48.240501
SWRD,1,MT,-16.586,-54.7248
SBCP,1,RJ,-21.698299408,-41.301700591999996
SBMD,1,PA,-0.8898389999999999,-52.6022
SVMI,0,,10.601194,-66.991222
SJTC,1,SP,-22.1668591409,-49.0502866745
MMMX,0,,19.4363,-99.072098
SBVH,1,RO,-12.694399833678998,-60.098300933838
SBSM,1,RS,-29.711399,-53.688202000000004
SPJC,0,,-12.0219,-77.114305
SBCZ,1,AC,-7.59991,-72.769501
SBCB,1,RJ,-22.921699523900003,-42.0742988586
KMCO,0,,28.42939949,-81.30899811
SWKO,1,AM,-4.1340599060058585,-63.13259887695313
LIMC,0,,45.6306,8.728110000000001
EHAM,0,,52.308601,4.76389
SBCM,1,SC,-28.724443435700003,-49.4213905334
KIAH,0,,29.9843998,-95.34140015
SBUY,1,AM,-4.8842201232899995,-65.3554000854
SBAX,1,MG,-19.563199996948,-46.960399627686
SBTT,1,AM,-4.2556700706482,-69.93579864502
SBAT,1,MT,-9.866389,-56.106297999999995
SBTB,1,PA,-1.489599943161,-56.396800994873
LIRF,0,,41.8002778,12.2388889
SBPK,1,RS,-31.718398999999998,-52.327702
SBNM,1,RS,-28.2817,-54.169102
SWUY,1,AM,-4.8842201232899995,-65.3554000854
SWCA,1,AM,-4.871520042419434,-66.89749908447266
SBAQ,1,SP,-21.811999999999998,-48.132999
KDFW,0,,32.896801,-97.038002
SACO,0,,-31.323601,-64.208
GOOY,0,,14.73970032,-17.49020004
SDOW,1,PA,-6.763100147250001,-51.0499000549
SBTU,1,PA,-3.7860100269317996,-49.72029876709001
